zip,city,lat,long
005,MID-ISLAND NY ,40.789227,-73.131838
006,SAN JAN PR ,18.466334,-66.105722
007,SAN JAN PR ,18.466334,-66.105722
009,SAN JAN PR  ,18.466334,-66.105722
010,SPRINGFIELD MA ,42.101483,-72.589811
011,SPRINGFIELD MA  ,42.101483,-72.589811
012,PITTSFIELD MA ,42.450085,-73.245382
013,SPRINGFIELD MA ,42.101483,-72.589811
014,WORCESTER MA ,42.262593,-71.802293
015,WORCESTER MA ,42.262593,-71.802293
016,WORCESTER MA  ,42.262593,-71.802293
017,WORCESTER MA ,42.262593,-71.802293
018,MIDDLESEX-ESX MA ,42.343456,-71.33133
019,MIDDLESEX-ESX MA ,42.343456,-71.33133
020,BROCKTON MA ,42.083434,-71.018379
021,BOSTON MA  ,42.360083,-71.05888
022,BOSTON MA  ,42.360083,-71.05888
023,BROCKTON MA ,42.083434,-71.018379
024,BROCKTON MA  ,42.083434,-71.018379
025,CAPE COD MA ,41.699096,-70.320911
026,CAPE COD MA ,41.699096,-70.320911
027,PROVIDENCE RI ,41.823989,-71.412834
028,PROVIDENCE RI ,41.823989,-71.412834
029,PROVIDENCE RI  ,41.823989,-71.412834
030,MANCHESTER NH ,42.99564,-71.454789
031,MANCHESTER NH  ,42.99564,-71.454789
032,MANCHESTER NH ,42.99564,-71.454789
033,CONCORD NH  ,43.208137,-71.537572
034,MANCHESTER NH ,42.99564,-71.454789
035,WHITE RIV JCT VT ,43.64896,-72.319258
036,WHITE RIV JCT VT ,43.64896,-72.319258
037,WHITE RIV JCT VT ,43.64896,-72.319258
038,PORTSMOTH NH ,43.071755,-70.762553
039,PORTSMOTH NH ,43.071755,-70.762553
040,PORTLAND ME ,43.661471,-70.255326
041,PORTLAND ME  ,43.661471,-70.255326
042,PORTLAND ME ,43.661471,-70.255326
043,PORTLAND ME ,43.661471,-70.255326
044,BANGOR ME ,44.801182,-68.777814
045,PORTLAND ME ,43.661471,-70.255326
046,BANGOR ME ,44.801182,-68.777814
047,BANGOR ME ,44.801182,-68.777814
048,PORTLAND ME ,43.661471,-70.255326
049,BANGOR ME ,44.801182,-68.777814
050,WHITE RIV JCT VT ,43.64896,-72.319258
051,WHITE RIV JCT VT ,43.64896,-72.319258
052,WHITE RIV JCT VT ,43.64896,-72.319258
053,WHITE RIV JCT VT ,43.64896,-72.319258
054,BRLINGTON VT ,44.475883,-73.212072
055,MIDDLESEX-ESX MA ,42.343456,-71.33133
056,BRLINGTON VT ,44.475883,-73.212072
057,WHITE RIV JCT VT ,43.64896,-72.319258
058,WHITE RIV JCT VT ,43.64896,-72.319258
059,WHITE RIV JCT VT ,43.64896,-72.319258
060,HARTFORD CT ,41.763711,-72.685093
061,HARTFORD CT  ,41.763711,-72.685093
062,HARTFORD CT ,41.763711,-72.685093
063,SOTHERN CT ,33.52205,36.341996
064,SOTHERN CT ,33.52205,36.341996
065,NEW HAVEN CT  ,41.308274,-72.927883
066,BRIDGEPORT CT  ,41.186548,-73.195177
067,WATERBRY CT ,41.558153,-73.051496
068,STAMFORD CT ,41.05343,-73.538734
069,STAMFORD CT ,41.05343,-73.538734
