State,make,model,index
AK,CHRYSLER,200,0
AL,CHRYSLER,200,0
AR,CHRYSLER,200,1.72
AZ,CHRYSLER,200,5.92
CA,CHRYSLER,200,0.24
CO,CHRYSLER,200,1.2
CT,CHRYSLER,200,0
DC,CHRYSLER,200,0
DE,CHRYSLER,200,0
FL,CHRYSLER,200,0.83
GA,CHRYSLER,200,0.7
HI,CHRYSLER,200,0
IA,CHRYSLER,200,1.76
ID,CHRYSLER,200,0.2
IL,CHRYSLER,200,2.72
IN,CHRYSLER,200,1.77
KS,CHRYSLER,200,2.13
KY,CHRYSLER,200,1.27
LA,CHRYSLER,200,0.76
MA,CHRYSLER,200,0
MD,CHRYSLER,200,2.47
ME,CHRYSLER,200,0
MI,CHRYSLER,200,0.78
MN,CHRYSLER,200,1.51
MO,CHRYSLER,200,5.58
MS,CHRYSLER,200,3.18
MT,CHRYSLER,200,0
NC,CHRYSLER,200,0.44
ND,CHRYSLER,200,6.28
NE,CHRYSLER,200,0.14
NH,CHRYSLER,200,0.39
NJ,CHRYSLER,200,0.9
NM,CHRYSLER,200,1.32
NV,CHRYSLER,200,0.53
NY,CHRYSLER,200,5.86
OH,CHRYSLER,200,0.85
OK,CHRYSLER,200,6.97
OR,CHRYSLER,200,0.61
PA,CHRYSLER,200,0.4
RI,CHRYSLER,200,0
SC,CHRYSLER,200,11.79
SD,CHRYSLER,200,0
TN,CHRYSLER,200,1.03
TX,CHRYSLER,200,1.6
UT,CHRYSLER,200,1.16
VA,CHRYSLER,200,12.39
VT,CHRYSLER,200,0.43
WA,CHRYSLER,200,0.18
WI,CHRYSLER,200,0
WV,CHRYSLER,200,0.74
WY,CHRYSLER,200,2.64
AK,FIAT,500,0
AL,FIAT,500,0
AR,FIAT,500,1.51
AZ,FIAT,500,0
CA,FIAT,500,0.68
CO,FIAT,500,0
CT,FIAT,500,0
DC,FIAT,500,0
DE,FIAT,500,0
FL,FIAT,500,0
GA,FIAT,500,0.64
HI,FIAT,500,0
IA,FIAT,500,0
ID,FIAT,500,1.22
IL,FIAT,500,0
IN,FIAT,500,0.82
KS,FIAT,500,2.03
KY,FIAT,500,0
LA,FIAT,500,0
MA,FIAT,500,0
MD,FIAT,500,0
ME,FIAT,500,0
MI,FIAT,500,0
MN,FIAT,500,0
MO,FIAT,500,0
MS,FIAT,500,0
MT,FIAT,500,0
NC,FIAT,500,0
ND,FIAT,500,0
NE,FIAT,500,0
NH,FIAT,500,0
NJ,FIAT,500,0
NM,FIAT,500,0.63
NV,FIAT,500,0
NY,FIAT,500,0
