dma_id	dma	dma_code	dma_desc	lat	lon
42	ABILENE-SWEETWATER	662	"Abilene-Sweetwater, TX"	32.404348	-99.8293625
14	ALBANY-SCHENECTADY-TROY	532	"Albany-Schenectady-Troy, NY"	43.049266	-73.8438695
86	"ALBANY, GA"	525	"Albany, GA"	31.5279975	-83.7121235
131	ALBUQUERQUE-SANTA FE	790	"Albuquerque-Santa Fe, NM"	34.4952755	-106.526644
151	"ALEXANDRIA, LA"	644	"Alexandria, LA"	31.322628	-92.61795
28	AMARILLO	634	"Amarillo, TX"	35.4797235	-102.063253
128	ANCHORAGE	NULL	NULL	61.2225235	-149.8723973
144	ANNISTON	630	"Birmingham (Anniston and Tuscaloosa), AL"	33.5031	-86.869635
133	ATLANTA	524	"Atlanta, GA"	33.9253975	-84.3335135
94	AUGUSTA	520	"Augusta, GA"	33.2388275	-81.9064505
140	AUSTIN	635	"Austin, TX"	30.331427	-98.0272995
153	BAKERSFIELD	800	"Bakersfield, CA"	35.291006	-119.05459
180	BALTIMORE	512	"Baltimore, MD"	38.972515	-76.506469
84	BANGOR	537	"Bangor, ME"	45.3356845	-68.751059
17	BATON ROUGE	716	"Baton Rouge, LA"	30.4278165	-91.140946
114	BEAUMONT-PORT ARTHUR	692	"Beaumont-Port Arthur, TX"	30.3724315	-94.1330155
61	"BEND, OR"	821	"Bend, OR"	44.001647	-120.9495205
6	BILLINGS	756	"Billings, MT"	45.8919365	-108.195493
136	BILOXI-GULFPORT	746	"Biloxi-Gulfport, MS"	30.651123	-88.868398
4	BINGHAMTON	502	"Binghamton, NY"	42.2963485	-75.4931575
40	BIRMINGHAM	630	"Birmingham (Anniston and Tuscaloosa), AL"	33.5031	-86.869635
102	BLUEFIELD-BECKLEY-OAK HILL	559	"Bluefield-Beckley-Oak Hill, WV"	37.6001745	-80.978172
45	BOISE	757	"Boise, ID"	43.632029	-117.0232835
171	BOSTON	506	"Boston, MA (Manchester, NH)"	42.501023	-71.460493
12	BOWLING GREEN	736	"Bowling Green, KY"	37.0341725	-85.99226
106	BUFFALO	514	"Buffalo, NY"	42.42369	-78.6800405
95	BURLINGTON-PLATTSBURGH	523	"Burlington, VT-Plattsburgh, NY"	44.071301	-73.0368725
156	BUTTE-BOZEMAN	754	"Butte-Bozeman, MT"	45.979098	-112.3609785
27	CEDAR RAPIDS-WATERLOO&DUBQ	637	"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA"	42.331217	-91.7493605
7	CHAMPAIGN&SPRNGFLD-DECATUR	648	"Champaign & Springfield-Decatur, IL"	39.9606635	-89.0627055
65	CHARLESTON-HUNTINGTON	564	"Charleston-Huntington, WV"	38.376208	-82.039491
18	"CHARLESTON, SC"	519	"Charleston, SC"	33.181204	-80.042272
160	CHARLOTTE	517	"Charlotte, NC"	35.477172	-80.76953
96	CHARLOTTESVILLE	584	"Charlottesville, VA"	38.1802125	-78.4610955
22	CHATTANOOGA	575	"Chattanooga, TN"	35.204094	-84.7884855
39	CHEYENNE-SCOTTSBLUF-STRLNG	759	"Cheyenne, WY-Scottsbluff, NE"	41.8048825	-104.3206125
20	CHICAGO	602	"Chicago, IL"	41.615065	-87.8455645
71	CHICO-REDDING	868	"Chico-Redding, CA"	40.3359675	-122.350166
9	CINCINNATI	515	"Cincinnati, OH"	39.0338655	-84.357866
97	CLARKSBURG-WESTON	598	"Clarksburg-Weston, WV"	38.93329	-80.309074
69	CLEVELAND	510	"Cleveland-Akron (Canton), OH"	41.0958885	-81.71123
124	COLORADO SPRINGS-PUEBLO	752	"Colorado Springs-Pueblo, CO"	38.061384	-104.0271685
88	"COLUMBIA, SC"	546	"Columbia, SC"	33.896366	-80.9102195
85	COLUMBUS-TUPELO-WEST POINT	673	"Columbus-Tupelo-West Point, MS"	33.9623585	-88.939003
158	"COLUMBUS, GA"	522	"Columbus, GA"	32.2969995	-84.8353915
21	"COLUMBUS, OH"	535	"Columbus, OH"	39.9719715	-82.734151
